index	ONTOLOGY	Description	p.adjust	geneID	Count
1	KEGG	Endocytosis	1.4598e-06	CBL/TSG101/CHMP2B/CBLC/RAB11FIP1/EPS15/EPN2/HGS/WIPF2/ASAP1/HSPA1B/RBSN/DAB2/SNX2/RAB11FIP5	15
2	KEGG	Protein processing in endoplasmic reticulum	0.0104	DNAJB11/HYOU1/SEC24A/SEC31A/DNAJA2/SEC23B/FBXO6/HSPA1B	8
3	KEGG	Regulation of actin cytoskeleton	0.0243	APC/PIK3CA/INS/PIK3R1/EZR/WASF2/BCAR1/RDX	8
4	KEGG	Fc gamma R-mediated phagocytosis	0.0336	PIK3CA/PIK3R1/ASAP1/WASF2/LYN	5
5	KEGG	Longevity regulating pathway - multiple species	0.0376	PIK3CA/INS/PIK3R1/HSPA1B	4
6	MF	cadherin binding	2.4555e-08	CBL/CHMP2B/SWAP70/EPS15/EPN2/PARK7/MICALL1/PDXDC1/EZR/ASAP1/PFKP/ARHGAP1/PACSIN2/YWHAB/MAPRE1/WASF2/RDX/SNX2	18
7	MF	SH3 domain binding	0.0004	CBL/CBLC/EPS15/ARHGAP1/WASF2/PTPN12/BCAR1/LYN	8
8	MF	ephrin receptor binding	0.0048	CBL/ANKS1A/EPHA4/LYN	4
9	MF	phospholipid binding	0.0065	PIK3C2B/BCAS3/EPDR1/EPN2/MICALL1/FERMT2/HGS/ASAP1/SH3PXD2B/APPL1/PACSIN2/GGA1/SNX2	13
10	CC	cell leading edge	2.9585e-07	APC/PIK3CA/BCAS3/SWAP70/MTMR6/FERMT2/STON1/EZR/TMEM87A/APPL1/PACSIN2/FLOT2/WASF2/BCAR1/ABLIM1/RDX/SNX2/SH3RF1	18
11	CC	lamellipodium	0	APC/PIK3CA/SWAP70/FERMT2/FLOT2/WASF2/BCAR1/ABLIM1/RDX/SNX2/SH3RF1	11
12	CC	focal adhesion	0.0001	CBL/HYOU1/FERMT2/EZR/PACSIN2/FLOT2/HSPA1B/YWHAB/MAPRE1/PTPN12/PPFIA1/BCAR1/DAB2/RDX	14
13	BP	endosomal transport	0	TSG101/CHMP2B/EVI5/EPS15/MICALL1/HGS/EZR/TMEM87A/BECN1/ARHGAP1/RBSN/GGA1/DAB2/RDX/SNX2	15
14	BP	protein localization to plasma membrane	0	LYPD1/INS/ZDHHC5/GORASP2/PIK3R1/EZR/ASAP1/TMEM59/APPL1/FLOT2/GGA1/PPFIA1/DAB2/RDX	14
15	BP	regulation of protein localization to plasma membrane	0.0002	LYPD1/INS/ZDHHC5/PIK3R1/EZR/TMEM59/APPL1/PPFIA1/DAB2	9
16	BP	protein localization to cell periphery	0.0003	LYPD1/INS/ZDHHC5/GORASP2/PIK3R1/EZR/ASAP1/TMEM59/APPL1/FLOT2/GGA1/PPFIA1/DAB2/RDX	14
17	BP	regulation of protein kinase activity	0.0003	APC/TSG101/CDKN2B/CBLC/INS/CDKN2A/DNAJA3/EPHA4/FERMT2/TNFRSF10A/HGS/SYAP1/CEP85/LATS2/LYN	15
