Description	p.adjust	geneID	Change
Inositol phosphate metabolism	0.0002	INPP5A/PIK3C3/PIK3C2A/PIKFYVE/PIK3CA/MTMR1/PIP5K1A/IPPK/PLCG1/SACM1L/SYNJ1/IPMK/PIP4K2B/INPP5F/MTMR2/MTMR3/MINPP1/MTMR6/INPP4A	Positive
ErbB signaling pathway	0.0002	MAPK1/CBL/SOS1/ABL1/ABL2/CRKL/BRAF/PIK3CA/CAMK2G/MAPK8/PLCG1/NCK1/SOS2/SHC1/KRAS/PAK2/STAT5B/MAP2K4/PTK2/GAB1/GSK3B	Positive
Polycomb repressive complex	0	JARID2/ASXL2/AEBP2/EP300/LCOR/BCOR/MGA/MBD6/PHC3/KDM2B/DCAF7/OGT/YY1/ASXL1/KDM2A/CREBBP/HCFC1/UBE2D1/SUZ12/TEX10/RBBP4/MBD5	Positive
Adherens junction	0.0002	ROCK2/SMAD3/MAPK1/SMURF2/CTNNB1/FARP2/EP300/ROCK1/TGFBR2/FER/CSNK2A1/ACTN1/PARD3/TCF7L2/CREBBP/ACTN4/VCL/TJP1/CTNNA1/PTPN1/RAP1B/LMO7	Positive
TGF-beta signaling pathway	0.0001	SMAD3/MAPK1/ACVR1/BMPR1A/SMURF2/SP1/SIN3A/EP300/BMPR2/ROCK1/TGFBR2/SMAD2/SKI/SMAD5/SMAD7/TGFB2/CREBBP/NEO1/ZFYVE16/ZFYVE9/ACVR2A/SKIL/TGIF1/BMP4/NCOR1	Positive
Cysteine and methionine metabolism	0.0377	SDS/SDSL	Negative
Tryptophan metabolism	0.0276	ACMSD/HAAO	Negative
Biosynthesis of amino acids	0.0072	SDS/ALDOB/SDSL	Negative
Glycine, serine and threonine metabolism	0.0013	SDS/AGXT/SDSL	Negative
Cholesterol metabolism	0.0026	APOE/APOC3/APOC1	Negative
