gene	expression
TP53	1.9914
KRAS	1.4169
BRAF	0.626
EGFR	3.166
TP53	2.6604
KRAS	1.05
BRAF	0.6284
EGFR	2.1975
TP53	3.8184
KRAS	2.2874
BRAF	1.2387
EGFR	2.2416
TP53	2.7048
KRAS	1.2831
BRAF	0.4464
EGFR	2.3061
TP53	2.7168
KRAS	2.1257
BRAF	1.138
EGFR	3.0576
TP53	3.6837
KRAS	2.8951
BRAF	1.1039
EGFR	4.0353
TP53	3.5503
KRAS	2.8645
BRAF	1.0751
EGFR	4.549
TP53	2.7314
KRAS	2.5365
BRAF	0.6346
EGFR	0.7494
TP53	3.5191
KRAS	2.936
BRAF	1.1898
EGFR	3.8129
TP53	2.6361
KRAS	1.7654
BRAF	0.964
EGFR	2.1925
TP53	2.2611
KRAS	1.8216
BRAF	0.7599
EGFR	3.7761
TP53	2.6727
KRAS	2.2355
BRAF	0.7737
EGFR	3.1706
TP53	1.4412
KRAS	0.9778
BRAF	0.3375
EGFR	1.3615
TP53	1.7503
KRAS	2.403
BRAF	0.8251
EGFR	4.8887
TP53	1.7946
KRAS	1.2524
BRAF	0.2439
EGFR	2.5365
TP53	2.5556
KRAS	1.5643
BRAF	0.5915
EGFR	1.5775
TP53	2.0163
KRAS	2.2609
BRAF	0.5369
EGFR	3.1919
TP53	2.8892
KRAS	3.0079
BRAF	1.1702
EGFR	2.278
TP53	1.5125
KRAS	1.8894
BRAF	0.6364
EGFR	3.0301
TP53	2.5032
KRAS	1.736
BRAF	0.5621
EGFR	1.1654
TP53	3.5829
KRAS	3.0344
BRAF	1.7179
EGFR	3.3729
TP53	2.7256
KRAS	2.6113
BRAF	0.8125
EGFR	3.8242
TP53	2.1286
KRAS	1.554
BRAF	0.5322
EGFR	1.729
TP53	2.0369
KRAS	1.8104
BRAF	0.4441
EGFR	2.127
TP53	3.4966
KRAS	1.1166
BRAF	0.4026
EGFR	1.4674
TP53	2.542
KRAS	2.7562
BRAF	1.0304
EGFR	4.686
TP53	2.6323
KRAS	1.8397
BRAF	0.7481
EGFR	3.9124
TP53	2.8265
KRAS	2.3697
BRAF	1.0161
EGFR	3.7966
TP53	2.1826
KRAS	2.0618
BRAF	0.6227
EGFR	2.9213
TP53	2.7635
KRAS	2.0434
BRAF	0.7786
EGFR	3.4682
TP53	2.1056
KRAS	2.392
BRAF	0.6215
EGFR	3.8656
TP53	1.8821
KRAS	2.3948
BRAF	1.1644
EGFR	4.2564
TP53	2.5298
KRAS	3.1937
BRAF	0.5687
EGFR	5.2393
TP53	3.1788
KRAS	1.7304
BRAF	1.2056
EGFR	2.8422
TP53	1.0923
KRAS	1.3435
BRAF	0.8573
EGFR	3.4486
TP53	3.1792
KRAS	1.9178
BRAF	0.5784
EGFR	1.6165
TP53	1.8575
KRAS	2.5875
BRAF	0.9816
EGFR	2.9376
TP53	1.8807
KRAS	1.0647
BRAF	0.5791
EGFR	2.5811
TP53	1.3986
KRAS	1.7005
BRAF	0.5464
EGFR	3.6735
TP53	3.1009
KRAS	2.5786
BRAF	0.7662
EGFR	3.3414
TP53	1.6877
KRAS	3.0264
BRAF	0.8408
EGFR	3.384
TP53	0.8097
KRAS	1.2559
BRAF	1.0038
EGFR	4.2113
TP53	2.8
KRAS	0.9926
BRAF	0.2715
EGFR	1.8936
TP53	2.9229
KRAS	2.2891
BRAF	0.899
EGFR	2.8413
TP53	2.3971
KRAS	1.7894
BRAF	0.9461
EGFR	3.3565
TP53	3.3337
KRAS	2.4722
BRAF	0.8792
EGFR	5.6263
TP53	3.1604
KRAS	1.8352
BRAF	0.84
EGFR	3.3745
TP53	3.3605
KRAS	1.9095
BRAF	0.5252
EGFR	1.5848
TP53	3.2524
KRAS	2.7585
BRAF	1.2469
EGFR	2.2392
TP53	2.083
KRAS	2.242
BRAF	0.8048
EGFR	2.9669
